STT,Khu vực,Tên đơn vị,Tên đơn vị cũ,Liên cấp,Tên miền,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
161,Quận 12,Mỹ Việt,mỹ việt,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
13,Quận 3,Nguyễn Thị Minh Khai,nguyễn thị minh khai,Không,https://thptnguyenthiminhkhai.hcm.edu.vn,Có,,,,25.3,25.5,26,24.25,24.5,24.75,14.25,14.75,15.5,23.25,23.5,24,0,0,0,,,,,,,,
14,Quận 3,Lê Quý Đôn,lê quý đôn,Không,http://www.thpt-lequydon-hcm.edu.vn,Có,,,,24.4,24.9,25.2,23.25,24.25,25,24.25,24.5,24.75,22.5,22.75,23,2,0,0,,,,,,,,
15,Quận 3,Marie Curie,marie curie,Không,https://thptmariecurie.hcm.edu.vn,Có,,,,22.8,23.2,23.3,20,21.25,21.5,15.5,16.25,16.5,19.75,20.75,21.25,0,0,0,,,,,,,,
16,Quận 3,Lê Thị Hồng Gấm,lê thị hồng gấm,Không,https://thptlethihonggam.hcm.edu.vn,Có,,,,18.5,19,19.4,14.25,14.75,15.5,20,21.25,21.5,14.75,15,15,0,0,0,,,,,,,,
17,Quận 3,Nguyễn Thị Diệu,nguyễn thị diệu,Không,https://thptnguyenthidieu.hcm.edu.vn,Có,,,,20.2,20.6,20.8,15.5,16.25,16.5,13.25,13.75,14.5,15.25,16,16,0,0,0,,,,,,,,
122,Quận 3,Trung Tâm Bảo Trợ Dạy Nghề Và Đào Tạo Việc Làm Thành Phố,trung tâm bảo trợ dạy nghề và đào tạo việc làm thành phố,Không,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
233,Quận 3,Quốc Tế Á Châu,quốc tế á châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
243,Quận 3,Tây Úc,tây úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
18,Quận 4,Nguyễn Trãi,nguyễn trãi,Không,https://thptnguyentrai.hcm.edu.vn,Có,,,,18.1,18.5,18.8,13.25,13.75,14.5,16.25,17.25,17.5,13.75,14,14.25,0,0,0,,,,,,,,
19,Quận 4,Nguyễn Hữu Thọ,nguyễn hữu thọ,Không,https://thptnguyenhuutho.hcm.edu.vn,Có,,,,20,20.5,20.6,16.25,17.25,17.5,21.75,22,22.75,16,16.5,16.75,0,0,0,,,,,,,,
239,Quận 4,Quốc Tế Nam Mỹ,quốc tế nam mỹ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
20,Quận 5,Trung Học Thực Hành Sài Gòn,trung học thực hành sài gòn,Không,http://thuchanhsaigon.edu.vn,Có,,,,22.9,23.2,24,21.75,22,22.75,19.25,19.75,20.5,21,21.5,22,0,0,0,,,,,,,,
21,Quận 5,Trần Hữu Trang,trần hữu trang,Không,https://thpttranhuutrang.hcm.edu.vn,Có,,,,18.3,18.7,19,14.25,14.5,15.5,23.25,23.5,23.75,13.75,14,14.75,0,0,0,,,,,,,,
